Warburton,QLD,4823
Warrah,NSW,2339
Watanobbi,NSW,2259
Wattle Grove,NSW,2173
Wedge Island,WA,6044
Wellstead,WA,6328
West Cape Howe,WA,6330
West Ryde,NSW,1685
Wetherill Park DC,NSW,1851
Whites River,SA,5607
Wigton,QLD,4612
Williamstown,WA,6430
Wilton,NSW,2571
Winkleigh,TAS,7275
Wivenhoe Hill,QLD,4311
Wondabyne,NSW,2256
Woodend North,VIC,3442
Woodville,NSW,2321
Woombye,QLD,4559
Woy Woy,NSW,2256
Wyaralong,QLD,4310
Yackandandah,VIC,3749
Yando,VIC,3537
Yarram,VIC,3971
Yeerongpilly,QLD,4105
Yoongarillup,WA,6280
Zetland,NSW,2017
